timestamp	experiment_name	fold_label	config_hash	total_samples	accuracy_all	confident_trades	confident_pct	accuracy_confident	precision_confident	recall_confident	f1_confident	brier_score	brier_skill_score	crps	horizon	avg_matches	buy_signals	sell_signals	hold_signals	top_k	max_distance	distance_weighting	distance_metric	nn_jobs	batch_size	feature_set	feature_weights	projection_horizon	confidence_threshold	agreement_spread	min_matches	same_sector_only	exclude_same_ticker	regime_filter	regime_mode	regime_fallback	adx_threshold	calibration_method	cal_frac
2026-03-18 17:04:49	overnight_p00	fold_1	000eb299941b	268	0.43656716417910446	2	0.007462686567164179	1.0	1.0	1.0	1.0	0.26484	-0.09448		fwd_7d	9.988805970149254	2	0	266	10	50.0	uniform	euclidean	1	64	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0}"	fwd_7d_up	0.65	0.1	10	False	True	False	binary	True	25.0	platt	0.76
2026-03-18 17:04:51	overnight_p00	fold_2	000eb299941b	144	0.4722222222222222	0	0.0	0.0	0.0	0.0	0.0	0.25325	-0.02268		fwd_7d	9.979166666666666	0	0	144	10	50.0	uniform	euclidean	1	64	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0}"	fwd_7d_up	0.65	0.1	10	False	True	False	binary	True	25.0	platt	0.76
2026-03-18 17:04:53	overnight_p01	fold_1	bd2586f06ce7	268	0.40298507462686567	2	0.007462686567164179	0.0	0.0	0.0	0.0	0.26508	-0.09547		fwd_7d	9.988805970149254	0	2	266	10	50.0	uniform	euclidean	1	64	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0}"	fwd_7d_up	0.65	0.1	10	False	True	False	binary	True	25.0	isotonic	0.76
2026-03-18 17:04:55	overnight_p01	fold_2	bd2586f06ce7	144	0.4583333333333333	1	0.006944444444444444	1.0	0.0	0.0	0.0	0.25186	-0.01707		fwd_7d	9.979166666666666	0	1	143	10	50.0	uniform	euclidean	1	64	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0}"	fwd_7d_up	0.65	0.1	10	False	True	False	binary	True	25.0	isotonic	0.76
2026-03-18 17:05:07	bayesian_t000	fold_1	74e58e1f17ad	268	0.417910447761194	0	0.0	0.0	0.0	0.0	0.0	0.26249	-0.08476		fwd_7d	10.380597014925373	0	0	268	50	1.3745401188473625	uniform	euclidean	1	256	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0}"	fwd_7d_up	0.65	0.1	10	False	True	True	binary	True	25.0	platt	0.76
2026-03-18 17:05:09	bayesian_t000	fold_2	74e58e1f17ad	144	0.4513888888888889	0	0.0	0.0	0.0	0.0	0.0	0.25139	-0.01517		fwd_7d	5.25	0	0	144	50	1.3745401188473625	uniform	euclidean	1	256	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0}"	fwd_7d_up	0.65	0.1	10	False	True	True	binary	True	25.0	platt	0.76
2026-03-18 17:05:12	bayesian_t001	fold_1	174a7fdcfe81	268	0.417910447761194	0	0.0	0.0	0.0	0.0	0.0	0.26439	-0.09262		fwd_7d	21.149253731343283	0	0	268	50	1.5986584841970366	uniform	euclidean	1	256	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0}"	fwd_7d_up	0.65	0.1	10	False	True	True	binary	True	25.0	platt	0.76
2026-03-18 17:05:14	bayesian_t001	fold_2	174a7fdcfe81	144	0.4930555555555556	0	0.0	0.0	0.0	0.0	0.0	0.24879	-0.00464		fwd_7d	10.555555555555555	0	0	144	50	1.5986584841970366	uniform	euclidean	1	256	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0}"	fwd_7d_up	0.65	0.1	10	False	True	True	binary	True	25.0	platt	0.76
2026-03-19 05:56:58	overnight_p00	fold_1	5ff579d35708	268	0.5373134328358209	0	0.0	0.0	0.0	0.0	0.0	0.25036	-0.00707	0.02982	fwd_7d	9.955223880597014	0	0	268	10	50.0	uniform	euclidean	1	64	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0, ""ret_overnight"": 1.0, ""ret_intraday"": 1.0, ""gap_magnitude"": 1.0, ""gap_direction_streak"": 0.8, ""weekend_gap"": 1.0, ""weekend_gap_magnitude"": 0.8}"	fwd_7d_up	0.65	0.1	10	False	True	False	binary	True	25.0	platt	0.76
2026-03-19 05:56:59	overnight_p00	fold_2	5ff579d35708	144	0.4305555555555556	0	0.0	0.0	0.0	0.0	0.0	0.25275	-0.03517	0.03997	fwd_7d	10.0	0	0	144	10	50.0	uniform	euclidean	1	64	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0, ""ret_overnight"": 1.0, ""ret_intraday"": 1.0, ""gap_magnitude"": 1.0, ""gap_direction_streak"": 0.8, ""weekend_gap"": 1.0, ""weekend_gap_magnitude"": 0.8}"	fwd_7d_up	0.65	0.1	10	False	True	False	binary	True	25.0	platt	0.76
2026-03-19 05:57:00	overnight_p01	fold_1	2afbaaf29a3f	268	0.5447761194029851	3	0.011194029850746268	0.6666666666666666	0.6666666666666666	1.0	0.8	0.24806	0.0022	0.02982	fwd_7d	9.955223880597014	3	0	265	10	50.0	uniform	euclidean	1	64	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0, ""ret_overnight"": 1.0, ""ret_intraday"": 1.0, ""gap_magnitude"": 1.0, ""gap_direction_streak"": 0.8, ""weekend_gap"": 1.0, ""weekend_gap_magnitude"": 0.8}"	fwd_7d_up	0.65	0.1	10	False	True	False	binary	True	25.0	isotonic	0.76
2026-03-19 05:57:01	overnight_p01	fold_2	2afbaaf29a3f	144	0.4236111111111111	0	0.0	0.0	0.0	0.0	0.0	0.25577	-0.04755	0.03997	fwd_7d	10.0	0	0	144	10	50.0	uniform	euclidean	1	64	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0, ""ret_overnight"": 1.0, ""ret_intraday"": 1.0, ""gap_magnitude"": 1.0, ""gap_direction_streak"": 0.8, ""weekend_gap"": 1.0, ""weekend_gap_magnitude"": 0.8}"	fwd_7d_up	0.65	0.1	10	False	True	False	binary	True	25.0	isotonic	0.76
2026-03-19 06:02:15	bayesian_t000	fold_1	5e056a3f66dc	268	0.5373134328358209	0	0.0	0.0	0.0	0.0	0.0	0.24899	-0.00155	0.03358	fwd_7d	8.08955223880597	0	0	268	50	1.3745401188473625	uniform	euclidean	1	256	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0, ""ret_overnight"": 1.0, ""ret_intraday"": 1.0, ""gap_magnitude"": 1.0, ""gap_direction_streak"": 0.8, ""weekend_gap"": 1.0, ""weekend_gap_magnitude"": 0.8}"	fwd_7d_up	0.65	0.1	10	False	True	True	binary	True	25.0	platt	0.76
2026-03-19 06:02:17	bayesian_t000	fold_2	5e056a3f66dc	144	0.4930555555555556	0	0.0	0.0	0.0	0.0	0.0	0.25513	-0.04493	0.04566	fwd_7d	3.9583333333333335	0	0	144	50	1.3745401188473625	uniform	euclidean	1	256	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0, ""ret_overnight"": 1.0, ""ret_intraday"": 1.0, ""gap_magnitude"": 1.0, ""gap_direction_streak"": 0.8, ""weekend_gap"": 1.0, ""weekend_gap_magnitude"": 0.8}"	fwd_7d_up	0.65	0.1	10	False	True	True	binary	True	25.0	platt	0.76
2026-03-19 06:02:18	bayesian_t001	fold_1	6a55c9eb7437	268	0.5373134328358209	0	0.0	0.0	0.0	0.0	0.0	0.2494	-0.00319	0.02965	fwd_7d	17.07089552238806	0	0	268	50	1.5986584841970366	uniform	euclidean	1	256	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0, ""ret_overnight"": 1.0, ""ret_intraday"": 1.0, ""gap_magnitude"": 1.0, ""gap_direction_streak"": 0.8, ""weekend_gap"": 1.0, ""weekend_gap_magnitude"": 0.8}"	fwd_7d_up	0.65	0.1	10	False	True	True	binary	True	25.0	platt	0.76
2026-03-19 06:02:19	bayesian_t001	fold_2	6a55c9eb7437	144	0.4236111111111111	0	0.0	0.0	0.0	0.0	0.0	0.25622	-0.04939	0.04617	fwd_7d	8.534722222222221	0	0	144	50	1.5986584841970366	uniform	euclidean	1	256	returns_only	"{""ret_1d"": 1.0, ""ret_3d"": 1.0, ""ret_7d"": 1.5, ""ret_14d"": 1.5, ""ret_30d"": 1.0, ""ret_45d"": 0.8, ""ret_60d"": 0.8, ""ret_90d"": 0.5, ""vol_10d"": 1.2, ""vol_30d"": 1.0, ""vol_ratio"": 1.0, ""vol_abnormal"": 0.8, ""rsi_14"": 1.0, ""atr_14"": 0.8, ""price_vs_sma20"": 1.2, ""price_vs_sma50"": 1.0, ""ret_overnight"": 1.0, ""ret_intraday"": 1.0, ""gap_magnitude"": 1.0, ""gap_direction_streak"": 0.8, ""weekend_gap"": 1.0, ""weekend_gap_magnitude"": 0.8}"	fwd_7d_up	0.65	0.1	10	False	True	True	binary	True	25.0	platt	0.76
