date,equity,cash,invested_capital,gross_exposure,open_positions,daily_return,cumulative_return,drawdown_from_peak,cash_yield_today,strategy_return_excl_cash,strategy_return_incl_cash
2024-01-02,10007.347430687725,5500.982142857143,4506.365287830583,0.450305669813334,9,0.0007347430687725254,0.0007347430687725254,0.0,0.9821428571428571,0.00063652878305831,0.0007347430687725254
2024-01-03,9974.726748943584,4501.051015395475,5473.675733548109,0.5487544542639047,11,-0.003259673152159137,-0.0025273251056416868,0.003259673152159137,0.8036156071050661,-0.0027059009520664645,-0.0025273251056416868
2024-01-04,9996.97440160552,3504.2039794904913,6492.770422115029,0.6494735468235556,13,0.002230402217713978,-0.00030255983944804665,0.0010365413166726345,0.6256389893751994,-0.0005436995848103754,-0.00030255983944804665
2024-01-05,10015.294914775342,3504.8297302011147,6510.465184574227,0.650052269051956,13,0.001832605789895858,0.0015294914775343393,0.0,0.625750710623302,0.0012257766611094567,0.0015294914775343393
2024-01-08,10120.498615671782,3505.4555926529365,6615.043023018847,0.6536281732972453,13,0.010504303846433416,0.012049861567178244,0.0,0.6258624518216276,0.0116835605055714,0.012049861567178244
2024-01-09,10114.123126472046,2999.966274487538,7114.156851984509,0.7033883969006051,14,-0.0006299580131223781,0.011412312647204548,0.0006299580131223781,0.5356126181909548,0.010992450323778824,0.011412312647204548
2024-01-10,10169.666583522505,3000.5019827508395,7169.164600771665,0.7049557172688011,14,0.0054916730156351345,0.01696665835225053,0.0,0.5357082633013461,0.01649322520249452,0.01696665835225053
2024-01-11,10174.499770214023,2492.4636569057097,7682.036113308312,0.7550283833901663,15,0.0004752551769346969,0.017449977021402274,0.0,0.4450033309954847,0.016932043538546715,0.017449977021402274
2024-01-12,10189.634158300458,3070.827460977062,7118.806697323395,0.6986322164986098,14,0.0014874822770885032,0.018963415830045793,0.0,0.5482641422919232,0.018390655932961186,0.018963415830045793
2024-01-16,10155.112502565618,2561.8031362322286,7593.30936633339,0.7477326680935336,15,-0.003387919055633404,0.015511250256561748,0.003387919055633404,0.4573831701896498,0.01489275204245799,0.015511250256561748
2024-01-17,10106.608571020071,2562.260601077984,7544.347969942087,0.7464767154013393,15,-0.004776306666547825,0.010660857102007038,0.008148043981810127,0.4574648457557551,0.009996612403327942,0.010660857102007038
2024-01-18,10160.252482779151,2562.718147613891,7597.53433516526,0.7477702299271104,15,0.005307805420791567,0.016025248277915072,0.0028834867930338515,0.4575465359067829,0.015315248925645175,0.016025248277915072
2024-01-19,10249.347716013026,2563.175775854536,7686.17194015849,0.7499181560744622,15,0.008768997954025748,0.02493477160130264,0.0,0.45762824064533764,0.02417900942496809,0.02493477160130264
2024-01-22,10218.586644499606,2563.63348581451,7654.953158685096,0.749120541323154,15,-0.003001271140929296,0.02185866444996054,0.003001271140929296,0.45770995997402425,0.02105713127762865,0.02185866444996054
2024-01-23,10294.59348754226,5150.3029210183995,5144.29056652386,0.4997079848513778,10,0.007438097428431156,0.029459348754226067,0.0,0.9195327479054454,0.028565862307103673,0.029459348754226067
2024-01-24,10273.813433403617,5166.3795423902975,5107.433891013319,0.4971312671891955,10,-0.0020185405245763954,0.027381343340361575,0.0020185405245763954,0.9224030605945898,0.026395616587179704,0.027381343340361575
2024-01-25,10289.565121959706,5165.664049523399,5123.901072436306,0.4979706150555399,10,0.0015331881056819263,0.028956512195970507,0.0004884472212176583,0.9222753168226029,0.027878557911106272,0.028956512195970507
2024-01-26,10289.575599955908,4652.0163623170965,5637.559237638812,0.5478903559115664,11,1.0183128322793777e-06,0.028957559995590687,0.00048742940577739535,0.8305688916831094,0.027796548821558353,0.028957559995590687
2024-01-29,10344.10912651323,4652.847079524653,5691.262046988577,0.5501935427577005,11,0.0052998810327566925,0.03441091265132301,0.0,0.8307172075566244,0.033166829756534844,0.03441091265132301
2024-01-30,10333.6254535961,4160.9763672648305,6172.649086331269,0.5973362508685844,12,-0.0010134921034679056,0.03336254535961003,0.0010134921034679056,0.7428988336484253,0.032044172581456865,0.03336254535961003
2024-01-31,10284.747987596355,3128.1723243734173,7156.575663222937,0.6958435609558867,14,-0.004729943640712886,0.028474798759635433,0.005738641983651038,0.5585024681973607,0.027100575734662735,0.028474798759635433
2024-02-01,10339.583716684225,3658.5791805062086,6681.004536178017,0.6461579807509438,13,0.005331752334039042,0.033958371668422416,0.0004374866674025091,0.6532010677568664,0.032518828536674205,0.033958371668422416
2024-02-02,10376.649588227356,3659.232498217013,6717.417090010342,0.6473589604135297,13,0.003584851436844616,0.03766495882273557,0.0,0.6533177108046802,0.03616008391990677,0.03766495882273557
2024-02-05,10383.704337238458,4196.973970150804,6186.730367087654,0.5958114913673488,12,0.0006798677117425544,0.03837043372384574,0.0,0.749325829343118,0.0367906262380826,0.03837043372384574
2024-02-06,10415.716493315926,3159.167572772749,7256.548920543176,0.6966922462991306,14,0.0030829225330177845,0.04157164933159252,0.0,0.5640363457905283,0.03993543821125023,0.04157164933159252
2024-02-07,10465.461987252933,2638.852887704829,7826.6090995481045,0.7478512758520374,15,0.004776003068913237,0.04654619872529331,0.0,0.47113959787624154,0.04486287364516328,0.04654619872529331
2024-02-08,10544.234548576918,2639.324111434776,7904.910437142143,0.7496903071270369,15,0.007526907213454281,0.054423454857691844,0.0,0.4712237299472909,0.05269300740456728,0.054423454857691844
2024-02-09,10555.886029877202,2112.4895469316452,8443.396482945556,0.7998756768543644,16,0.0011050096853029157,0.05558860298772017,0.0,0.37716292571534465,0.053820439242024065,0.05558860298772017
2024-02-12,10579.165188782137,3668.0885267140106,6911.076662068127,0.653272402759761,13,0.0022053249569999878,0.05791651887821381,0.0,0.6548988621164097,0.0560828652463059,0.05791651887821381
2024-02-13,10499.078689727092,4110.252188720276,6388.826501006817,0.6085130600324022,12,-0.007570209711817988,0.04990786897270927,0.007570209711817988,0.7338425618140111,0.048000831084620055,0.04990786897270927
2024-02-14,10576.748696595983,3678.2567842642457,6898.491912331737,0.6522318067887861,13,0.007397792622021893,0.05767486965959834,0.0002284199313492552,0.656714298208221,0.05570216034168829,0.05767486965959834
2024-02-15,10613.053044273445,3130.8498496818565,7482.20319459159,0.7050000752261208,14,0.003432467643780468,0.06130530442734461,0.0,0.5589805123516973,0.05927669705819927,0.06130530442734461
2024-02-16,10581.439180606547,3131.408930012157,7450.030250594389,0.7040658764309355,14,-0.0029787718515131845,0.058143918060654665,0.0029787718515131845,0.5590803303003316,0.05605940265847953,0.058143918060654665
2024-02-20,10539.00357488636,3118.667719467544,7420.335855418814,0.7040832468356789,14,-0.004010381290851517,0.053900357488635864,0.00697720713146166,0.5568055203477137,0.051760161534425864,0.053900357488635864
2024-02-21,10556.151708759624,3146.501371995914,7409.65033676371,0.70192723079331,14,0.0016271114960173527,0.05561517087596246,0.005361448329378127,0.5617749280478332,0.05341879742894773,0.05561517087596246
2024-02-22,10629.93403311969,2619.1614104483892,8010.772622671301,0.7536051115380521,15,0.0069895096618251,0.06299340331196901,0.0,0.46762389045677366,0.060750267475908615,0.06299340331196901
2024-02-23,10647.796872673973,2088.037506061832,8559.759366612141,0.8038995736835968,16,0.0016804280721429699,0.06477968726739736,0.0,0.37279726942721514,0.062499271704393955,0.06477968726739736
2024-02-26,10631.412116672309,2088.4103699022003,8543.00174677011,0.8035622787468535,16,-0.0015387930665462513,0.06314121166723097,0.0015387930665462513,0.3728638403681843,0.060823509720190794,0.06314121166723097
2024-02-27,10629.939638515267,1584.7848743046882,9045.154764210578,0.850913088107992,17,-0.00013850259409409205,0.06299396385152667,0.0016770825338088269,0.2829467727735562,0.06064796722720933,0.06299396385152667
2024-02-28,10637.733841650339,2114.7232668363818,8523.010574813958,0.8012054730532435,16,0.0007332311753522891,0.06377338416503386,0.0009450810476540061,0.3775617330541656,0.06138963136741116,0.06377338416503386
2024-02-29,10631.281637592801,2115.100895991174,8516.180741601627,0.8010493026059944,16,-0.0006065393394479868,0.06312816375928021,0.0015510471582675933,0.37762915479221104,0.06070664804617798,0.06312816375928021
2024-03-01,10706.584014007276,2650.240105743176,8056.3439082641,0.7524663233132152,15,0.0070830948686564366,0.07065840140072766,0.0,0.4731726666208134,0.06818956842096369,0.07065840140072766
2024-03-04,10732.962459239294,2650.713362904916,8082.249096334379,0.7530305940255021,15,0.0024637592342717785,0.07329624592392947,0.0,0.4732571617398529,0.07078008722799134,0.07329624592392947
2024-03-05,10656.046622460679,2640.461642634135,8015.5849798265435,0.7522100140713908,15,-0.007166319370883745,0.06560466224606798,0.007166319370883745,0.4714268242517648,0.06304136086770473,0.06560466224606798
2024-03-06,10670.13666221892,2613.8271200637523,8056.309542155167,0.7550333980895619,15,0.0013222577056430929,0.06701366622189209,0.005853537386249941,0.4666715086705503,0.06440369769266163,0.06701366622189209
2024-03-07,10736.883556907313,3171.2887707035334,7565.594786203779,0.7046360097047563,14,0.006255486391728349,0.07368835569073129,0.0,0.566200458972243,0.0710217671156037,0.07368835569073129
2024-03-08,10716.40070535081,2634.915029392607,8081.485675958203,0.7541231331451643,15,-0.0019077092014586627,0.07164007053508104,0.0019077092014586627,0.4704365344389585,0.06892643830650957,0.07164007053508104
2024-03-11,10707.460645609715,3188.6005796344352,7518.86006597528,0.7022075835560667,14,-0.0008342408973780469,0.07074606456097143,0.002740358609800597,0.5692913014880262,0.06797550320225132,0.07074606456097143
2024-03-12,10768.724303676405,3773.651362296669,6995.072941379735,0.6495730361479903,13,0.005721586106581578,0.07687243036764047,0.0,0.6737460029096,0.0740344944086293,0.07687243036764047
2024-03-13,10762.825031629607,4310.61076185449,6452.214269775117,0.5994907703891367,12,-0.0005478153103783967,0.07628250316296081,0.0005478153103783967,0.7696144906006946,0.07336760575488954,0.07628250316296081
2024-03-14,10718.662023381321,4296.948260394714,6421.7137629866065,0.599115239288122,12,-0.004103291479560456,0.07186620233813201,0.0046488589440434325,0.7671751937858801,0.0688745874106822,0.07186620233813201
2024-03-15,10696.228356217125,3761.6867690755103,6934.541587141614,0.648316523937239,13,-0.0020929540566966276,0.06962283562171256,0.006732083152554136,0.6716098498617229,0.06656405970927648,0.06962283562171256
2024-03-18,10733.324387329627,4860.204915484786,5873.1194718448405,0.5471855000281073,11,0.0034681412809347556,0.0733324387329628,0.003287289687107342,0.8677387815541486,0.07018688894237135,0.0733324387329628
2024-03-19,10740.006105751247,3787.548703979815,6952.457401771431,0.6473420343819365,13,0.0006225208686980732,0.07400061057512475,0.0026668152248409127,0.676227227991397,0.07078743806173415,0.07400061057512475
2024-03-20,10776.553260088249,2714.032655564227,8062.520604524022,0.7481539236097088,15,0.003402898841689872,0.07765532600882485,0.0,0.48456215953655185,0.07439369727948075,0.07765532600882485
2024-03-21,10847.278027257322,2714.5173042527204,8132.760723004602,0.7497512926808357,15,0.0065628374362523,0.0847278027257321,0.0,0.4846486884936119,0.08141770912753854,0.0847278027257321
2024-03-22,10810.605597145659,2715.002039485623,8095.603557660036,0.7488575440951736,15,-0.003380795626286237,0.08106055971456594,0.003380795626286237,0.4847352329022715,0.07770199259308219,0.08106055971456594
2024-03-25,10764.022174325935,2182.744659428789,8581.277514897147,0.7972184909991161,16,-0.0043090484063189605,0.07640221743259357,0.007675276020599697,0.3897062416405622,0.07300467968694568,0.07640221743259357
2024-03-26,10743.35626319016,2713.1873721917123,8030.168890998449,0.7474543982602648,15,-0.0019199060352241837,0.07433562631901602,0.009580446247069885,0.48441124302655103,0.07088964744906545,0.07433562631901602
2024-03-27,10849.363392695388,2702.618776214833,8146.744616480556,0.7508960960756057,15,0.009867226489401526,0.08493633926953881,0.0,0.4825243306935963,0.08144210796651885,0.08493633926953881
2024-03-28,10851.233553027952,2706.49835393967,8144.735199088282,0.750581503871102,15,0.00017237512145862333,0.08512335530279524,0.0,0.48321698874123725,0.08158080230090126,0.08512335530279524
2024-04-01,10813.318063696195,2701.0238277651506,8112.294235931044,0.7502132267029709,15,-0.0034941178941980677,0.08133180636961956,0.0034941178941980677,0.4822395693206839,0.07774102941079342,0.08133180636961956
2024-04-02,10762.687416446055,2178.4123058332366,8584.275110612818,0.7975958771686997,16,-0.004682248959283264,0.07626874164460551,0.0081600065236076,0.3889327451942933,0.07263907141125991,0.07626874164460551
2024-04-03,10804.106628871437,2178.801308030707,8625.305320840731,0.7983358196217379,16,0.0038484080065441795,0.08041066288714371,0.004343001551502357,0.3890021974702208,0.07674209243405139,0.08041066288714371
2024-04-04,10709.513111845159,2176.4768507663266,8533.036261078832,0.7967716339635409,16,-0.00875532982741023,0.07095131118451592,0.01306030696788818,0.3885871899243576,0.06724388201243081,0.07095131118451592
2024-04-05,10833.653415776822,2195.188060320802,8638.46535545602,0.7973732427950855,16,0.011591591759139597,0.08336534157768227,0.0016201049553693503,0.39192788079285873,0.07961871961751799,0.08336534157768227
2024-04-08,10844.171175295078,2216.8067773132484,8627.36439798183,0.7955761909805037,16,0.0009708414248270625,0.08441711752950787,0.0006508363955454177,0.3957876767208085,0.08063091680167145,0.08441711752950787
2024-04-09,10804.53788939685,3228.048754178421,7576.489135218429,0.7012321316077477,14,-0.0036548008379394537,0.08045378893968502,0.004303258556081158,0.5763343606817392,0.07660995477578059,0.08045378893968502
2024-04-10,10764.18838073268,3822.1014577966794,6942.086922936,0.6449243247509457,13,-0.0037344964752049625,0.07641883807326799,0.008021684527376505,0.6823962609885162,0.07250676428326464,0.07641883807326799
2024-04-11,10794.894392661354,2746.172920191219,8048.721472470134,0.7456044663060216,15,0.002852608189544137,0.07948943926613539,0.005191959060809048,0.49030046780775205,0.07552833542935122,0.07948943926613539
2024-04-12,10693.192564030698,2206.822205593965,8486.370358436734,0.7936236355625749,16,-0.00942128981824919,0.0693192564030698,0.014564333928021922,0.3940050358139556,0.06531875206270432,0.0693192564030698
2024-04-15,10612.086511760688,2194.0560421307564,8418.030469629932,0.793249325691114,16,-0.007584830422191269,0.061208651176068773,0.02203869634715694,0.39172577077856746,0.05716897425862544,0.061208651176068773
2024-04-16,10597.42227783627,3227.0592935538443,7370.362984282425,0.6954863919782642,14,-0.001381842666677069,0.05974222778362681,0.023390085002903627,0.5761577028305381,0.055644935095900516,0.05974222778362681
2024-04-17,10606.260831454365,3779.4540836851684,6826.806747769197,0.6436581992706927,13,0.0008340286332253477,0.060626083145436604,0.02257556437030417,0.6747820181548239,0.05646131225589457,0.060626083145436604
2024-04-18,10615.850902072603,3772.160128186707,6843.690773885896,0.6446671903191252,13,0.000904189588643467,0.06158509020726033,0.021691787371922122,0.6734797586478677,0.05735297134185369,0.06158509020726033
2024-04-19,10637.792961598483,2726.021814054072,7911.771147544412,0.7437417870516211,15,0.002066914817124621,0.06377929615984823,0.019669707631526423,0.48670269845635994,0.05949850702459614,0.06377929615984823
2024-04-22,10701.252740211134,3811.7578894787785,6889.494850732356,0.6438026479688982,13,0.00596550232193227,0.07012527402111335,0.013821544996141744,0.6805495249917476,0.06577642993336186,0.07012527402111335
2024-04-23,10796.104585549238,1671.80582489038,9124.298760658858,0.8451473110840256,17,0.008863620703180697,0.07961045855492377,0.0050804332253387985,0.29848345382795577,0.07523176612178939,0.07961045855492377
2024-04-24,10774.81337411121,2189.362354752534,8585.451019358678,0.7968073990021077,16,-0.001972119783512083,0.07748133741112095,0.007042533785978411,0.39088776196260205,0.0730635562017905,0.07748133741112095
2024-04-25,10719.128701907279,2166.7087301885927,8552.419971718686,0.7978652192315719,16,-0.005168040528453655,0.0719128701907279,0.012174178214403142,0.38684319410615836,0.06745640466198677,0.0719128701907279
2024-04-26,10690.038451766563,2109.1611000082275,8580.877351758334,0.8026984552464652,16,-0.0027138633138661383,0.06900384517665614,0.014855002472636825,0.3765686663110565,0.06450972278128386,0.06900384517665614
2024-04-29,10735.334744162974,2109.5377359189433,8625.79700824403,0.8034958586581621,16,0.004237243168094151,0.07353347441629743,0.010680703562281901,0.3766359107157549,0.06900168842985344,0.07353347441629743
2024-04-30,10627.056062387317,1581.855259705919,9045.200802681398,0.8511483095205802,17,-0.010086195200809223,0.06270560623873167,0.020659171102079932,0.2824237207116442,0.05814557788021668,0.06270560623873167
2024-05-01,10584.824226149167,2124.709539970457,8460.11468617871,0.7992683208927087,16,-0.0039739920435371,0.05848242261491676,0.024551063764031378,0.37934467773084396,0.05388445978862855,0.05848242261491676
2024-05-02,10673.049786317035,2657.2477581273984,8015.802028189637,0.7510320094698688,15,0.008335099221573383,0.06730497863170348,0.016420600094926185,0.4744238096995891,0.0626595734244455,0.06730497863170348
2024-05-03,10792.459375355653,3212.5782978656903,7579.881077489962,0.7023312123646679,14,0.011187953905331005,0.07924593753556519,0.005416359106555135,0.5735722724273683,0.07454317510106456,0.07924593753556519
2024-05-06,10827.406975760017,3213.1519725617377,7614.25500319828,0.7032390137587681,14,0.003238149821917835,0.08274069757600166,0.0021957482669134887,0.5736746960474447,0.07798056767189632,0.08274069757600166
2024-05-07,10867.477832762179,3213.7257496996954,7653.7520830624835,0.7042804412251683,14,0.003700872895225027,0.0867477832762178,0.0,0.5737771379574531,0.08193027565831645,0.0867477832762178
2024-05-08,10886.052429141757,2652.1246535927776,8233.927775548978,0.7563740694015867,15,0.0017091910989301962,0.08860524291417571,0.0,0.47350913293925684,0.08374038438298048,0.08860524291417571
2024-05-09,10963.568186187844,3832.5140232548165,7131.054162933028,0.6504318705215785,13,0.007120648880817315,0.09635681861878442,0.0,0.684255315703413,0.09142353455601882,0.09635681861878442
2024-05-10,10983.137650791241,2188.369505825806,8794.768144965436,0.8007518820755058,16,0.0017849539740220077,0.09831376507912415,0.0,0.3907104991654715,0.09334140996644202,0.09831376507912415
2024-05-13,10957.743654108786,3290.989881706712,7666.753772402075,0.6996653703910384,14,-0.002312089449286403,0.09577436541087869,0.002312089449286403,0.5875718410474401,0.0907432531140917,0.09577436541087869
2024-05-14,10987.686426295197,3291.5775584713024,7696.108867823894,0.7004303334873063,14,0.0027325673178331122,0.09876864262951957,0.0,0.5876767645904842,0.09367876265627384,0.09876864262951957
2024-05-15,11090.555448604275,3294.291632138914,7796.263816465361,0.7029642340813963,14,0.009362209505988206,0.10905554486042757,0.0,0.5881613340722932,0.1039068487537742,0.10905554486042757
2024-05-16,11066.021740873059,3331.9263744022005,7734.095366470858,0.6989047688117657,14,-0.002212126150480942,0.10660217408730577,0.002212126150480942,0.5948806238889842,0.10139398991826387,0.10660217408730577
2024-05-17,11109.34428739939,2779.121470445576,8330.222816953814,0.7498392885709957,15,0.00391491608644845,0.11093442873993897,0.0,0.4961830870283121,0.10567662626219398,0.11093442873993897
2024-05-20,11079.61951706604,3345.9851167619836,7733.634400304057,0.6980054133079091,14,-0.002675654796932103,0.10796195170660394,0.002675654796932103,0.5973906653743944,0.10264441016232162,0.10796195170660394
2024-05-21,11113.533780186728,3337.272704738626,7776.261075448101,0.6997109316670872,14,0.0030609591844241724,0.11135337801867284,0.0,0.5958351552827399,0.10597625295886237,0.11135337801867284
2024-05-22,11056.14722206806,3337.8686462930436,7718.278575775017,0.6980983900403696,14,-0.0051636643441869134,0.10561472220680601,0.0051636643441869134,0.5959415544176118,0.10017800299155377,0.10561472220680601
2024-05-23,10976.494075982857,3338.7624475127186,7637.731628470138,0.6958261513739523,14,-0.007204421620419121,0.09764940759828566,0.01233088474956423,0.5961011332820423,0.09215307826970509,0.09764940759828566
2024-05-24,11002.574505015227,2790.4359468820962,8212.13855813313,0.7463833627656735,15,0.0023760254277762627,0.1002574505015228,0.00998415781749995,0.4982031685202814,0.09471130085609025,0.1002574505015228
2024-05-28,11003.45382877906,2240.7072764923405,8762.74655228672,0.7963632772619206,16,7.991981907795598e-05,0.10034538287790595,0.009905035930508399,0.4000548610055955,0.09475922774637291,0.10034538287790595
2024-05-29,10916.20133073645,2249.8227049528427,8666.378625783607,0.7939005853054323,16,-0.00792955551959551,0.09162013307364503,0.017756048917769385,0.4016823254691738,0.08599380970956494,0.09162013307364503
2024-05-30,10895.397049526746,1673.030178063861,9222.366871462884,0.8464461487306209,17,-0.0019058169210498521,0.08953970495267449,0.019628026060340753,0.29870204928831656,0.08388351138366579,0.08953970495267449
2024-05-31,10995.719444271006,2772.745442126082,8222.974002144925,0.7478341043367801,15,0.009207777769660863,0.0995719444271006,0.010600978792700722,0.49504471382361753,0.09386624638670948,0.0995719444271006
2024-06-03,10975.263086787072,2186.169702819022,8789.09338396805,0.8008093577774081,16,-0.001860392818097245,0.09752630867870726,0.01244164962598715,0.3903177473342299,0.09178157886358251,0.09752630867870726
2024-06-04,10996.98925462616,2186.560090265954,8810.429164360206,0.8011673886699379,16,0.001979557817182842,0.09969892546261594,0.010486720773580038,0.3903874469319682,0.09391515690279806,0.09969892546261594
2024-06-05,11048.957719966033,2719.29361707461,8329.664102891422,0.7538868655311525,15,0.004725699383402615,0.10489577199660327,0.005810578480071049,0.48550144921881994,0.0990634532918635,0.10489577199660327
2024-06-06,11065.697878154304,2725.0449613469264,8340.652916807378,0.7537394395407577,15,0.0015150893516426844,0.10656978781543036,0.004304292674010335,0.4865282916170195,0.10068881628152893,0.10656978781543036
2024-06-07,11061.961438550923,2744.9993254168885,8316.962113134035,0.7518523870594442,15,-0.0003376596437498769,0.10619614385509224,0.004640498931829273,0.4900909347289571,0.10026616322771797,0.10619614385509224
2024-06-10,11074.56748165785,2757.839316147969,8316.728165509881,0.7509754380281113,15,0.0011395847994004615,0.1074567481657851,0.0035062023744730775,0.49238338085127104,0.1014775292003256,0.1074567481657851
2024-06-11,11036.71338509236,2219.2223430968907,8817.491041995469,0.7989236228518477,16,-0.003418110605961422,0.10367133850923604,0.006912328392911671,0.39621895074038394,0.09765249764870254,0.10367133850923604
2024-06-12,11061.379557925864,2217.8424812305743,8843.53707669529,0.7994967562937109,16,0.002234920122762496,0.10613795579258634,0.004692856771969733,0.39597259082852604,0.10007951767297008,0.10613795579258634
2024-06-13,11097.29006480327,2754.4813423089527,8342.808722494317,0.7517879296455262,15,0.0032464763268769126,0.10972900648032691,0.0014616156935085556,0.4917838497248621,0.10362138997573811,0.10972900648032691
2024-06-14,11142.743233209261,3326.651138003662,7816.0920952056,0.701451333089227,14,0.004095879997780161,0.11427432332092602,0.0,0.5939387855746584,0.10810731293777986,0.11427432332092602
2024-06-17,11232.200894839274,2738.573523750636,8493.627371088638,0.7561854929955094,15,0.008028333755676798,0.12322008948392749,0.0,0.488943675013504,0.11700418473327967,0.12322008948392749
2024-06-18,11276.343355864557,3854.216980374602,7422.1263754899555,0.6582032970492943,13,0.003929992121630033,0.12763433558645576,0.0,0.6881301518254958,0.12134961782062548,0.12763433558645576
2024-06-20,11229.730315357636,3247.5242876048396,7982.206027752797,0.7108101266542826,14,-0.004133701771565801,0.12297303153576356,0.004133701771565801,0.5798115135877235,0.11663033261857447,0.12297303153576356
2024-06-21,11188.690605516567,3217.7008824084837,7970.989723108084,0.7124148842920011,14,-0.0036545588084998526,0.11886906055165669,0.0077731537238446835,0.5744868563485955,0.11246891294883299,0.11886906055165669
2024-06-24,11229.391479902535,3253.748776113596,7975.642703788939,0.7102470973661489,14,0.003637679852001696,0.12293914799025352,0.004163750116530807,0.5809228309433309,0.11648090810433542,0.12293914799025352
2024-06-25,11177.121398262014,3254.329802680759,7922.791595581256,0.7088400772683037,14,-0.004654756380527814,0.11771213982620132,0.008799125254636775,0.5810265671631422,0.11119579728356688,0.11771213982620132
2024-06-26,11210.651573051482,2695.955067362795,8514.696505688687,0.7595184321093864,15,0.0029998935857207254,0.12106515730514822,0.00582562810832743,0.48133459513708177,0.11450068130300006,0.12106515730514822
2024-06-27,11197.244930653202,2201.903236332138,8995.341694321063,0.8033531239185202,16,-0.0011958843168855537,0.11972449306532007,0.0070145456479221435,0.3931268052726546,0.11312070438264477,0.11972449306532007
2024-06-28,11194.572750004028,2223.453625540695,8971.119124463334,0.8013811089360338,16,-0.0002386462621584151,0.11945727500040282,0.0072515179149810205,0.39697440198905465,0.11281378887752846,0.11945727500040282
